1st,2nd,3rd,4th,5th,College Code,Gender,Roll,Roll no.,Subject Code
8.11,7.68,7.11,7.43,8.18,115,Female,,17020.0,16
6.48,5.9,4.15,4.29,4.96,115,Male,,17021.0,16
8.41,8.24,7.52,8.25,7.75,115,Female,,17022.0,16
7.33,6.83,6.33,6.79,6.89,115,Male,,17023.0,16
7.89,7.34,7.22,7.32,7.46,115,Male,,17024.0,16
7.33,6.72,6.48,6.5,7.39,115,Male,,17025.0,16
7.15,6.72,6.89,6.86,7.64,115,Male,,17026.0,16
6.74,6.38,4.93,5.64,6.75,115,Male,,17027.0,16
7.89,7.45,6.96,7.71,8.0,115,Female,,17028.0,16
7.3,6.34,6.3,6.61,6.18,115,Male,,17029.0,16
8.0,7.9,7.52,7.64,8.11,115,Male,,17030.0,16
6.78,4.28,5.81,6.04,6.39,115,Male,,17031.0,16
5.67,5.62,5.48,5.93,6.75,115,Male,,17032.0,16
6.33,6.41,6.41,6.93,7.0,115,Male,,17033.0,16
6.44,6.21,6.19,6.68,6.86,115,Male,,17034.0,16
6.3,6.17,5.59,5.89,6.36,115,Male,,17035.0,16
6.96,6.14,6.93,7.18,7.29,115,Male,,17036.0,16
6.7,6.45,5.78,6.0,6.61,115,Male,,17037.0,16
7.41,6.93,7.33,7.71,8.46,115,Male,,17038.0,16
7.04,6.31,6.44,7.21,7.32,115,Male,,17039.0,16
6.63,5.62,6.11,5.79,6.25,115,Male,,17040.0,16
8.33,8.72,7.81,8.04,8.93,115,Female,,17041.0,16
7.96,7.93,7.78,8.21,8.21,115,Male,,17042.0,16
6.89,5.55,5.93,6.79,7.54,115,Male,,17043.0,16
8.19,8.17,7.15,7.75,7.64,115,Male,,17044.0,16
7.89,6.69,7.15,8.43,8.36,115,Female,,17045.0,16
7.33,6.55,5.96,6.75,6.89,115,Male,,17046.0,16
8.22,8.17,8.37,9.04,9.0,115,Male,,17047.0,16
7.44,7.59,7.26,7.89,7.86,115,Male,,17048.0,16
5.74,6.45,6.48,7.29,7.61,115,Male,,17049.0,16
6.81,6.79,6.3,7.14,7.86,115,Female,,17050.0,16
8.89,8.31,7.3,9.25,8.5,115,Female,,17051.0,16
8.04,7.59,7.22,8.32,8.82,115,Male,,17052.0,16
8.3,8.38,7.63,7.93,8.75,115,Male,,17053.0,16
8.04,6.69,6.37,6.64,6.64,115,Male,,17054.0,16
